locus_tag	ftype	gene	EC_number	product
LFT_00163	CDS			hypothetical protein
LFT_00164	CDS			hypothetical protein
LFT_00165	CDS			hypothetical protein
LFT_00166	CDS	tusA_2	2.8.1.-	Sulfurtransferase TusA
LFT_00167	CDS			hypothetical protein
LFT_00168	CDS			hypothetical protein
LFT_00169	CDS			hypothetical protein
LFT_00170	CDS			hypothetical protein
LFT_00171	CDS	tolC_1		Outer membrane protein TolC
LFT_00172	CDS	cusB_1		Cation efflux system protein CusB
	sig_peptide			putative signal peptide
LFT_00173	CDS	czcA_1		Cobalt-zinc-cadmium resistance protein CzcA
LFT_00174	CDS	ygiD	1.13.11.29	4,5-DOPA dioxygenase extradiol
LFT_00175	CDS	dksA		RNA polymerase-binding transcription factor DksA
LFT_00176	CDS	yciK	1.-.-.-	putative oxidoreductase YciK
LFT_00177	CDS			hypothetical protein
LFT_00178	CDS	dapF	5.1.1.7	Diaminopimelate epimerase
LFT_00179	CDS			hypothetical protein
LFT_00180	CDS			hypothetical protein
LFT_00181	CDS	ykuV_1	1.8.-.-	Thiol-disulfide oxidoreductase YkuV
LFT_00182	CDS			hypothetical protein
LFT_00183	CDS	trmI	2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase TrmI
LFT_00184	CDS			hypothetical protein
LFT_00185	CDS	moeZ_1		putative adenylyltransferase/sulfurtransferase MoeZ
LFT_00186	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00187	CDS	modA_1		Molybdate-binding protein
LFT_00188	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00189	CDS	mcpH		Methyl-accepting chemotaxis protein McpH
LFT_00190	CDS			hypothetical protein
LFT_00191	CDS			hypothetical protein
LFT_00192	CDS			hypothetical protein
LFT_00193	CDS	gcvT_1	2.1.2.10	Aminomethyltransferase
LFT_00194	CDS	gcvT_2	2.1.2.10	Aminomethyltransferase
LFT_00195	CDS	gcvH		Glycine cleavage system H protein
LFT_00196	CDS	gcvPA	1.4.4.2	putative glycine dehydrogenase (decarboxylating) subunit 1
LFT_00197	CDS	gcvPB	1.4.4.2	putative glycine dehydrogenase (decarboxylating) subunit 2
LFT_00198	CDS	lipM	2.3.1.181	Octanoyltransferase LipM
LFT_00199	CDS			hypothetical protein
LFT_00200	CDS			hypothetical protein
LFT_00201	CDS			hypothetical protein
LFT_00202	CDS	queG	1.17.99.6	Epoxyqueuosine reductase
LFT_00203	CDS	zraR_2		Transcriptional regulatory protein ZraR
LFT_00204	CDS			hypothetical protein
LFT_00205	CDS	zraS_1	2.7.13.3	Sensor protein ZraS
LFT_00206	CDS	zraR_3		Transcriptional regulatory protein ZraR
LFT_00207	CDS	flgB		Flagellar basal body rod protein FlgB
LFT_00208	CDS	flgC		Flagellar basal-body rod protein FlgC
LFT_00209	CDS	fliE		Flagellar hook-basal body complex protein FliE
LFT_00210	CDS	fliF		Flagellar M-ring protein
LFT_00211	CDS	fliG		Flagellar motor switch protein FliG
LFT_00212	CDS			hypothetical protein
LFT_00213	CDS	yscN	3.6.3.14	putative ATP synthase YscN
LFT_00214	CDS			hypothetical protein
LFT_00215	CDS			hypothetical protein
LFT_00216	CDS			hypothetical protein
LFT_00217	CDS	flgD		Basal-body rod modification protein FlgD
LFT_00218	CDS	flgE		Flagellar hook protein FlgE
LFT_00219	CDS	fliL		Flagellar FliL protein
LFT_00220	CDS	fliN		Flagellar motor switch protein FliN
LFT_00221	CDS			hypothetical protein
LFT_00222	CDS	fliP		Flagellar biosynthetic protein FliP
	sig_peptide			putative signal peptide
LFT_00223	CDS			hypothetical protein
LFT_00224	CDS			hypothetical protein
LFT_00225	CDS	flhB_1		Flagellar biosynthetic protein FlhB
LFT_00226	CDS	flhA		Flagellar biosynthesis protein FlhA
LFT_00227	CDS	flhF		Flagellar biosynthesis protein FlhF
LFT_00228	CDS	ylxH		Flagellum site-determining protein YlxH
LFT_00229	CDS	fliA		RNA polymerase sigma factor FliA
LFT_00230	CDS	wspC	2.1.1.-	putative biofilm formation methyltransferase WspC
LFT_00231	CDS	cheY		Chemotaxis protein CheY
LFT_00232	CDS	cheA	2.7.13.3	Chemotaxis protein CheA
LFT_00233	CDS	cheB	3.1.1.61	Chemotaxis response regulator protein-glutamate methylesterase
LFT_00234	CDS	mcpP		Methyl-accepting chemotaxis protein McpP
LFT_00235	CDS	cheW		Chemotaxis protein CheW
LFT_00236	CDS	pomA_1		Chemotaxis protein PomA
LFT_00237	CDS	pomA_2		Chemotaxis protein PomA
LFT_00238	CDS	motB		Motility protein B
LFT_00239	CDS			hypothetical protein
LFT_00240	CDS			hypothetical protein
LFT_00241	CDS			hypothetical protein
LFT_00242	CDS	flhB_2		Flagellar biosynthetic protein FlhB
LFT_00243	CDS		1.-.-.-	putative oxidoreductase
LFT_00244	CDS			hypothetical protein
LFT_00245	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00246	CDS			hypothetical protein
LFT_00247	CDS			hypothetical protein
LFT_00248	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00249	CDS	dapL	2.6.1.83	LL-diaminopimelate aminotransferase
LFT_00250	CDS			hypothetical protein
LFT_00251	CDS			hypothetical protein
LFT_00252	CDS			hypothetical protein
LFT_00253	CDS	mutY	3.2.2.-	Adenine DNA glycosylase
LFT_00254	CDS	hcf136		Ycf48-like protein
LFT_00255	CDS			hypothetical protein
LFT_00256	CDS			hypothetical protein
LFT_00257	CDS			hypothetical protein
LFT_00258	CDS			hypothetical protein
LFT_00259	CDS			hypothetical protein
LFT_00260	CDS	ssuB	3.6.3.-	Aliphatic sulfonates import ATP-binding protein SsuB
LFT_00261	CDS			hypothetical protein
LFT_00262	CDS			hypothetical protein
LFT_00263	CDS	dprA		DNA processing protein DprA
LFT_00264	CDS	topA_1	5.99.1.2	DNA topoisomerase 1
LFT_00265	CDS	topA_2	5.99.1.2	DNA topoisomerase 1
LFT_00266	CDS	trmFO	2.1.1.74	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
LFT_00267	CDS	xerD_1		Tyrosine recombinase XerD
LFT_00268	CDS	hslV	3.4.25.2	ATP-dependent protease subunit HslV
LFT_00269	CDS	hslU		ATP-dependent protease ATPase subunit HslU
LFT_00270	CDS	argB	2.7.2.8	Acetylglutamate kinase
LFT_00271	CDS			hypothetical protein
LFT_00272	CDS	dut	3.6.1.23	Deoxyuridine 5'-triphosphate nucleotidohydrolase
LFT_00273	CDS	rsmI	2.1.1.198	Ribosomal RNA small subunit methyltransferase I
LFT_00274	CDS	panC	6.3.2.1	Pantothenate synthetase
LFT_00275	CDS	ramA	3.5.1.100	(R)-stereoselective amidase
LFT_00276	CDS	frmR		Transcriptional repressor FrmR
LFT_00277	CDS	bepA_1	3.4.-.-	Beta-barrel assembly-enhancing protease
	sig_peptide			putative signal peptide
LFT_00278	CDS			hypothetical protein
LFT_00279	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00280	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00281	CDS			hypothetical protein
LFT_00282	CDS			hypothetical protein
LFT_00283	CDS			hypothetical protein
LFT_00284	tRNA			tRNA-Leu(caa)
LFT_00285	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00286	CDS			hypothetical protein
LFT_00287	CDS			hypothetical protein
LFT_00288	CDS			putative MFS-type transporter
LFT_00289	CDS	dmpP	1.14.13.7	Phenol hydroxylase P5 protein
LFT_00290	CDS			hypothetical protein
LFT_00291	CDS			hypothetical protein
LFT_00292	CDS			hypothetical protein
LFT_00293	CDS	thiI	2.8.1.4	tRNA sulfurtransferase
LFT_00294	CDS	hmoB	1.14.14.18	Heme-degrading monooxygenase HmoB
LFT_00295	CDS			hypothetical protein
LFT_00296	CDS			hypothetical protein
LFT_00297	CDS			hypothetical protein
LFT_00298	CDS			hypothetical protein
LFT_00299	CDS			hypothetical protein
LFT_00300	CDS			hypothetical protein
LFT_00301	CDS	ruvB	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvB
LFT_00302	CDS	ruvA	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvA
LFT_00303	CDS	ruvC	3.1.22.4	Crossover junction endodeoxyribonuclease RuvC
LFT_00304	CDS	degP	3.4.21.107	Periplasmic serine endoprotease DegP
	sig_peptide			putative signal peptide
LFT_00305	CDS	dctD		C4-dicarboxylate transport transcriptional regulatory protein DctD
LFT_00306	CDS	zraS_2	2.7.13.3	Sensor protein ZraS
LFT_00307	CDS	lacA	2.3.1.18	Galactoside O-acetyltransferase
LFT_00308	CDS		3.1.3.-	Phosphorylated carbohydrates phosphatase
LFT_00309	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00310	CDS			Ycf48-like protein
LFT_00311	CDS			hypothetical protein
LFT_00312	CDS			hypothetical protein
LFT_00313	CDS			hypothetical protein
LFT_00314	CDS			hypothetical protein
LFT_00315	CDS	oppC_2		Oligopeptide transport system permease protein OppC
LFT_00316	CDS	oppC_3		Oligopeptide transport system permease protein OppC
LFT_00317	CDS	dppB_2		Dipeptide transport system permease protein DppB
LFT_00318	CDS			hypothetical protein
LFT_00319	CDS	mdeA	4.4.1.11	L-methionine gamma-lyase
LFT_00320	CDS			hypothetical protein
LFT_00321	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00322	CDS	amtB		Ammonia channel
	sig_peptide			putative signal peptide
LFT_00323	CDS	glnB_1		Nitrogen regulatory protein P-II 1
LFT_00324	CDS	amt		Ammonia channel
LFT_00325	CDS	copA	3.6.3.54	Copper-exporting P-type ATPase A
LFT_00326	CDS	cdpA	3.1.4.52	Cyclic di-GMP phosphodiesterase CdpA
LFT_00327	CDS			hypothetical protein
LFT_00328	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00329	CDS			hypothetical protein
LFT_00330	CDS	trxA_1		Thioredoxin 1
LFT_00331	CDS	pepN	3.4.11.2	Aminopeptidase N
LFT_00332	CDS			hypothetical protein
LFT_00333	CDS			hypothetical protein
LFT_00334	CDS	uvrB_1		UvrABC system protein B
LFT_00335	CDS	uvrB_2		UvrABC system protein B
LFT_00336	CDS			hypothetical protein
LFT_00337	CDS	hlyU		Transcriptional activator HlyU
LFT_00338	CDS			hypothetical protein
LFT_00339	CDS	cnrB		Nickel and cobalt resistance protein CnrB
LFT_00340	CDS			hypothetical protein
LFT_00341	CDS	mdtB_1		Multidrug resistance protein MdtB
LFT_00342	CDS			hypothetical protein
LFT_00343	CDS	adhA	1.1.1.1	putative alcohol dehydrogenase AdhA
LFT_00344	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00345	CDS			hypothetical protein
LFT_00346	CDS			hypothetical protein
LFT_00347	CDS			hypothetical protein
LFT_00348	CDS	bcp_1	1.11.1.15	Putative peroxiredoxin bcp
LFT_00349	CDS	arc_1		Proteasome-associated ATPase
LFT_00350	CDS	arc_2		Proteasome-associated ATPase
LFT_00351	CDS	dop_1	3.4.-.-	Depupylase
LFT_00352	CDS	pup		Prokaryotic ubiquitin-like protein Pup
LFT_00353	CDS	prcB_1	3.4.25.1	Proteasome subunit beta
LFT_00354	CDS	prcA_1	3.4.25.1	Proteasome subunit alpha
LFT_00355	CDS	pafA_1	6.3.1.19	Pup--protein ligase
LFT_00356	CDS	pafA_2	6.3.1.19	Pup--protein ligase
LFT_00357	CDS			hypothetical protein
LFT_00358	CDS			hypothetical protein
LFT_00359	CDS			hypothetical protein
LFT_00360	CDS			hypothetical protein
LFT_00361	CDS			hypothetical protein
LFT_00362	CDS			hypothetical protein
LFT_00363	CDS			hypothetical protein
LFT_00364	CDS	ectD	1.14.11.-	Ectoine dioxygenase
LFT_00365	CDS	ectC	4.2.1.108	L-ectoine synthase
LFT_00366	CDS	ectB	2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase
LFT_00367	CDS	ectA	2.3.1.178	L-2,4-diaminobutyric acid acetyltransferase
LFT_00368	CDS	proP_1		Proline/betaine transporter
LFT_00369	tRNA			tRNA-Cys(gca)
LFT_00370	CDS			hypothetical protein
LFT_00371	CDS			hypothetical protein
LFT_00372	tRNA			tRNA-Arg(tcg)
LFT_00373	CDS	mdtB_2		Multidrug resistance protein MdtB
LFT_00374	CDS	cnrA		Nickel and cobalt resistance protein CnrA
LFT_00375	CDS			hypothetical protein
LFT_00376	CDS			hypothetical protein
LFT_00377	CDS	nrdZ_1	1.17.4.1	Vitamin B12-dependent ribonucleoside-diphosphate reductase
LFT_00378	CDS	rbr		Rubrerythrin
LFT_00379	CDS	ilvE_2	2.6.1.42	Branched-chain-amino-acid aminotransferase
LFT_00380	CDS	pabB	2.6.1.85	Aminodeoxychorismate synthase component 1
LFT_00381	tRNA			tRNA-His(gtg)
LFT_00382	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00383	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 3
LFT_00384	CDS			hypothetical protein
LFT_00385	CDS	ttcA		tRNA 2-thiocytidine biosynthesis protein TtcA
LFT_00386	CDS			hypothetical protein
LFT_00387	CDS			hypothetical protein
LFT_00388	CDS	bchB	1.3.7.7	Light-independent protochlorophyllide reductase subunit B
LFT_00389	CDS			hypothetical protein
LFT_00390	CDS	murJ		putative lipid II flippase MurJ
LFT_00391	CDS	rpsT		30S ribosomal protein S20
LFT_00392	CDS			hypothetical protein
LFT_00393	CDS			hypothetical protein
LFT_00394	CDS	leuS	6.1.1.4	Leucine--tRNA ligase
LFT_00395	tRNA			tRNA-Arg(acg)
LFT_00396	CDS	xerC_1		Tyrosine recombinase XerC
LFT_00397	CDS			hypothetical protein
LFT_00398	CDS			hypothetical protein
LFT_00399	CDS			hypothetical protein
LFT_00400	CDS			hypothetical protein
LFT_00401	CDS			hypothetical protein
LFT_00402	CDS			hypothetical protein
LFT_00403	CDS			hypothetical protein
LFT_00404	CDS			hypothetical protein
LFT_00405	CDS			hypothetical protein
LFT_00406	CDS			hypothetical protein
LFT_00407	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00408	CDS	yhjE		Inner membrane metabolite transport protein YhjE
LFT_00409	CDS	nhaH		Na(+)/H(+) antiporter NhaH
LFT_00410	CDS			hypothetical protein
LFT_00411	CDS		3.4.24.-	putative zinc protease
	sig_peptide			putative signal peptide
LFT_00412	CDS		3.4.24.-	putative zinc protease
LFT_00413	CDS			hypothetical protein
LFT_00414	CDS			hypothetical protein
LFT_00415	CDS			hypothetical protein
LFT_00416	CDS	hflX		GTPase HflX
LFT_00417	CDS			hypothetical protein
LFT_00418	CDS			hypothetical protein
LFT_00419	CDS			hypothetical protein
LFT_00420	CDS	serS	6.1.1.11	Serine--tRNA ligase
LFT_00421	CDS	lppC_1		Putative lipoprotein LppC
	sig_peptide			putative signal peptide
LFT_00422	CDS			putative signaling protein
LFT_00423	CDS			hypothetical protein
LFT_00424	CDS			Putative phosphoribosyl transferase
LFT_00425	CDS			hypothetical protein
LFT_00426	CDS			hypothetical protein
LFT_00427	CDS	gpsA	1.1.1.94	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
LFT_00428	CDS		1.14.11.1	Gamma-butyrobetaine dioxygenase
LFT_00429	CDS	truA	5.4.99.12	tRNA pseudouridine synthase A
LFT_00430	CDS			hypothetical protein
LFT_00431	CDS	apbC		Iron-sulfur cluster carrier protein
LFT_00432	CDS	mrp		Iron-sulfur cluster carrier protein
LFT_00433	CDS			hypothetical protein
LFT_00434	CDS			hypothetical protein
LFT_00435	CDS	fdx_1		2Fe-2S ferredoxin
LFT_00436	CDS	dnaK_1		Chaperone protein DnaK
LFT_00437	CDS	hscB		Co-chaperone protein HscB 
LFT_00438	CDS	erpA_1		Iron-sulfur cluster insertion protein ErpA
LFT_00439	CDS	iscU		Iron-sulfur cluster assembly scaffold protein IscU
LFT_00440	CDS	iscS_1	2.8.1.7	Cysteine desulfurase IscS
LFT_00441	CDS			Putative HTH-type transcriptional regulator
LFT_00442	CDS			hypothetical protein
LFT_00443	CDS			hypothetical protein
LFT_00444	CDS	corC		Magnesium and cobalt efflux protein CorC
LFT_00445	CDS			hypothetical protein
LFT_00446	CDS	aprA	1.8.99.2	Adenylylsulfate reductase subunit alpha
LFT_00447	CDS	aprB		Adenylylsulfate reductase subunit beta
LFT_00448	CDS	sat	2.7.7.4	Sulfate adenylyltransferase
LFT_00449	CDS	xre		HTH-type transcriptional regulator Xre
LFT_00450	CDS			hypothetical protein
LFT_00451	CDS	hpnP_1	2.1.1.-	Hopanoid C-2 methylase
LFT_00452	CDS	mdtD		Putative multidrug resistance protein MdtD
LFT_00453	CDS	hsrA_1		putative transport protein HsrA
LFT_00454	tRNA			tRNA-Met(cat)
LFT_00455	CDS	fic	2.7.7.-	Adenosine monophosphate-protein transferase SoFic
LFT_00456	CDS			hypothetical protein
LFT_00457	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00458	CDS	zraR_4		Transcriptional regulatory protein ZraR
LFT_00459	CDS	cydA	1.10.3.14	Cytochrome bd-I ubiquinol oxidase subunit 1
LFT_00460	CDS	cydB	1.10.3.14	Cytochrome bd-I ubiquinol oxidase subunit 2
LFT_00461	CDS	cydX	1.10.3.14	Cytochrome bd ubiquinol oxidase subunit X
LFT_00462	CDS		1.8.5.4	Sulfide-quinone reductase
LFT_00463	CDS			hypothetical protein
LFT_00464	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00465	CDS			hypothetical protein
