BLASTX 2.9.0+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: NCBI Protein Reference Sequences
           155,334,636 sequences; 58,941,098,972 total letters



Query= ENA|OBMB01000001|OBMB01000001.1 Leptospirillum ferriphilum isolate
pb_238 genome assembly, contig: unitig_0_quiver

Length=1740
                                                                      Score        E
WP_085791248.1 dTMP kinase [Roseivivax jejudonensis]                  104        7e-22 
WP_062430381.1 dTMP kinase [Herbidospora daliensis]                   104        7e-22 
WP_136805266.1 dTMP kinase [Desulfopila sp. IMCC35005]                104        7e-22 
WP_011180740.1 dTMP kinase [Bartonella henselae]                      104        7e-22 
WP_064822049.1 dTMP kinase [Rhizobium phaseoli]                       105        7e-22 
WP_093914673.1 dTMP kinase [Sulfitobacter marinus]                    104        7e-22 
WP_129695607.1 dTMP kinase [Candidatus Gastranaerophilales bacter...  104        7e-22 
WP_156074525.1 dTMP kinase [Rhodobacteraceae bacterium]               104        7e-22 
WP_142261276.1 dTMP kinase [Thermopolyspora flexuosa]                 97.8       7e-22 
WP_043056695.1 dTMP kinase [Enteractinococcus helveticum]             104        7e-22 
WP_062356554.1 dTMP kinase [Herbidospora yilanensis]                  104        7e-22 
WP_062336547.1 dTMP kinase [Herbidospora sakaeratensis]               104        7e-22 
WP_109857660.1 dTMP kinase [Ensifer adhaerens]                        105        7e-22 
WP_105044571.1 dTMP kinase [Rubritalea profundi]                      104        8e-22 
WP_099911474.1 dTMP kinase [Puniceibacterium antarcticum]             104        8e-22 
WP_116489647.1 dTMP kinase [Caulobacter radicis]                      96.7       8e-22 
WP_108887947.1 dTMP kinase [Rhodobacteraceae bacterium Alg231-30]     104        8e-22 
WP_050528816.1 dTMP kinase [Pseudaestuariivita atlantica]             104        8e-22 
WP_142565333.1 dTMP kinase [Microbispora sp. KK1-11]                  97.8       8e-22 
WP_021828347.1 dTMP kinase [Chlamydia gallinacea]                     98.2       8e-22 
WP_054003217.1 dTMP kinase [Shimia sp. SK013]                         104        8e-22 
WP_112534212.1 dTMP kinase [Rhizobiales bacterium]                    104        8e-22 
WP_011569564.1 dTMP kinase [Roseobacter denitrificans]                104        8e-22 
WP_139575677.1 dTMP kinase [Microbispora sp. CR1-09]                  97.8       8e-22 
WP_009571416.1 MULTISPECIES: dTMP kinase [Rhodobacteraceae]           104        8e-22 
WP_050518698.1 dTMP kinase [Pseudorhodobacter antarcticus]            104        9e-22 
WP_073037409.1 dTMP kinase [Roseovarius pacificus]                    104        9e-22 
WP_142624879.1 dTMP kinase [Microbispora hainanensis]                 97.4       9e-22 
WP_093013407.1 dTMP kinase [Roseivivax halotolerans]                  104        9e-22 
WP_013769651.1 dTMP kinase [Cellulomonas fimi]                        104        9e-22 
WP_070064942.1 dTMP kinase [Wolbachia pipientis]                      103        9e-22 
WP_099442937.1 dTMP kinase [Caulobacter sp. BP25]                     103        1e-21 
WP_037178198.1 dTMP kinase [Rhizobium sp. YR519]                      104        1e-21 
WP_155527257.1 dTMP kinase [Rhodobacteraceae bacterium]               103        1e-21 
WP_102268606.1 dTMP kinase [Massilicoli timonensis]                   104        1e-21 
WP_030452780.1 dTMP kinase [Herbidospora cretacea]                    103        1e-21 
WP_085805704.1 dTMP kinase [Roseovarius albus]                        103        1e-21 
WP_064789221.1 MULTISPECIES: dTMP kinase [Thalassospira]              99.4       1e-21 
WP_124236565.1 dTMP kinase [Aeromicrobium camelliae]                  103        1e-21 
WP_030507895.1 dTMP kinase [Microbispora rosea]                       97.1       1e-21 
WP_076439194.1 dTMP kinase [Microbispora rosea]                       97.1       1e-21 
WP_066366667.1 dTMP kinase [Herbidospora mongoliensis]                104        1e-21 
WP_109101852.1 dTMP kinase [Caulobacter sp. 774]                      96.3       1e-21 
WP_073195793.1 dTMP kinase [Caloranaerobacter azorensis]              103        1e-21 
WP_101717415.1 dTMP kinase [Caulobacter zeae]                         97.1       1e-21 
WP_121632175.1 dTMP kinase [Tropicibacter sp. LMIT003]                103        1e-21 
WP_068900479.1 dTMP kinase [Planomonospora sphaerica]                 95.5       1e-21 
WP_146826358.1 dTMP kinase [Aeromicrobium flavum]                     104        1e-21 
WP_099577991.1 dTMP kinase [Caulobacter sp. FWC2]                     103        1e-21 
WP_086450085.1 dTMP kinase [Marivivens niveibacter]                   103        1e-21 
WP_155341423.1 dTMP kinase [Acrocarpospora corrugata]                 99.8       1e-21 
WP_050527707.1 dTMP kinase [Pseudorhodobacter aquimaris]              103        1e-21 
WP_079320780.1 dTMP kinase [Microbispora sp. GKU 823]                 97.1       1e-21 
WP_137194478.1 dTMP kinase [Pseudorhodobacter sp. S12M18]             103        1e-21 
WP_022715614.1 dTMP kinase [Rhizobium mongolense]                     104        1e-21 
WP_037245274.1 dTMP kinase [Roseovarius sp. MCTG156(2b)]              103        1e-21 
WP_099590697.1 hypothetical protein [Leptospirillum ferriphilum]      74.7       1e-21 
WP_127523724.1 dTMP kinase [Mesorhizobium sp. Z1-4]                   104        1e-21 
WP_007814093.1 dTMP kinase [Roseobacter sp. AzwK-3b]                  103        1e-21 
WP_100916068.1 dTMP kinase [Spiroplasma floricola]                    103        1e-21 
WP_020833845.1 dTMP kinase [Spiroplasma taiwanense]                   103        1e-21 
WP_010851303.1 dTMP kinase [Tetrasphaera elongata]                    103        1e-21 
WP_010703748.1 dTMP kinase [Bartonella schoenbuchensis]               103        1e-21 
WP_106262588.1 dTMP kinase [Donghicola tyrosinivorans]                103        2e-21 
WP_149779038.1 dTMP kinase [Roseovarius litoreus]                     103        2e-21 
WP_109310413.1 dTMP kinase [Ruegeria sp. AU67]                        103        2e-21 
WP_138463090.1 MULTISPECIES: dTMP kinase [Microbispora]               95.9       2e-21 
WP_142573653.1 dTMP kinase [Microbispora bryophytorum]                96.7       2e-21 
WP_089407992.1 dTMP kinase [Granulicella rosea]                       103        2e-21 
WP_072335717.1 dTMP kinase [Desulfovibrio piger]                      98.6       2e-21 
WP_149280032.1 dTMP kinase [Acetobacter sp. KACC 21233]               103        2e-21 
WP_039524314.1 dTMP kinase [Ruegeria sp. ANG-S4]                      103        2e-21 
WP_114113269.1 dTMP kinase [Thalassospira profundimaris]              99.8       2e-21 
WP_111697831.1 dTMP kinase [Microbispora triticiradicis]              95.9       2e-21 
WP_142651889.1 MULTISPECIES: dTMP kinase [unclassified Microbispora]  96.7       2e-21 
WP_027260710.1 dTMP kinase [Sedimentitalea nanhaiensis]               103        2e-21 
WP_058274424.1 dTMP kinase [Ruegeria atlantica]                       103        2e-21 
WP_088370386.1 dTMP kinase [endosymbiont 'TC1' of Trimyema compre...  103        2e-21 
WP_050602736.1 dTMP kinase [Ruegeria sp. 6PALISEP08]                  103        2e-21 
WP_058349797.1 dTMP kinase [Caulobacter vibrioides]                   95.1       2e-21 
WP_049556538.1 dTMP kinase [Nonomuraea sp. SBT364]                    99.0       2e-21 
WP_039683174.1 dTMP kinase [Tateyamaria sp. ANG-S1]                   103        2e-21 
WP_058279655.1 dTMP kinase [Ruegeria atlantica]                       103        2e-21 
WP_087861238.1 dTMP kinase [Brevefilum fermentans]                    98.6       2e-21 
WP_108861556.1 dTMP kinase [Ruegeria sp. Alg231-54]                   103        2e-21 
WP_025044202.1 dTMP kinase [Sulfitobacter geojensis]                  103        2e-21 
WP_062954879.1 MULTISPECIES: dTMP kinase [Thalassospira]              99.0       2e-21 
WP_054463686.1 dTMP kinase [Phaeobacter sp. 11ANDIMAR09]              103        2e-21 
WP_150939646.1 dTMP kinase [Microbispora sp. Gxj-6]                   95.9       2e-21 
WP_037307790.1 dTMP kinase [Ruegeria halocynthiae]                    103        2e-21 
WP_101246217.1 dTMP kinase [Thalassospira lohafexi]                   99.4       2e-21 
WP_113824968.1 dTMP kinase [Phaeobacter gallaeciensis]                103        2e-21 
WP_073375410.1 dTMP kinase [Desulfofustis glycolicus]                 103        2e-21 
WP_110794890.1 dTMP kinase [Rhodobacteraceae bacterium FSX-11]        103        2e-21 
WP_071972258.1 dTMP kinase [Sulfitobacter sp. AM1-D1]                 103        2e-21 
WP_119750990.1 dTMP kinase [Paracoccus sp. 1011MAR3C25]               102        2e-21 
WP_064223110.1 dTMP kinase [Sulfitobacter geojensis]                  103        2e-21 
WP_018979594.1 dTMP kinase [Saccharibacter floricola]                 89.7       2e-21 
WP_101715870.1 dTMP kinase [Caulobacter flavus]                       95.1       2e-21 
WP_103539683.1 dTMP kinase [Streptomyces sp. SM9]                     100        2e-21 
WP_154068758.1 dTMP kinase [Rhodobacteraceae bacterium]               103        2e-21 
WP_041247155.1 dTMP kinase [Komagataeibacter medellinensis]           97.8       2e-21 
WP_079417171.1 dTMP kinase [Paenibacillus ferrarius]                  103        2e-21 
WP_038147708.1 dTMP kinase [Thioclava atlantica]                      102        2e-21 
WP_082154920.1 dTMP kinase [Jiangella alkaliphila]                    95.1       2e-21 
WP_071454136.1 dTMP kinase [Gloeomargarita lithophora]                103        2e-21 
WP_153471351.1 dTMP kinase [Komagataeibacter medellinensis]           97.8       2e-21 
WP_101656693.1 dTMP kinase [Amylibacter cionae]                       102        2e-21 
WP_058284263.1 dTMP kinase [Leisingera aquaemixtae]                   103        2e-21 
WP_058864283.1 dTMP kinase [Ponticoccus marisrubri]                   102        3e-21 
WP_144022748.1 dTMP kinase [Asanoa hainanensis]                       92.8       3e-21 
WP_033182687.1 dTMP kinase [Rhizobium leguminosarum]                  103        3e-21 
WP_020835946.1 dTMP kinase [Spiroplasma diminutum]                    102        3e-21 
WP_115366214.1 dTMP kinase [Altererythrobacter sp. HME9302]           103        3e-21 
WP_141889780.1 dTMP kinase [Leisingera aquaemixtae]                   103        3e-21 
WP_074068140.1 dTMP kinase [Rhizobium gallicum]                       103        3e-21 
WP_078689757.1 dTMP kinase [Bartonella schoenbuchensis]               103        3e-21 
WP_034459308.1 dTMP kinase [Bartonella koehlerae]                     103        3e-21 
WP_012557713.1 dTMP kinase [Rhizobium leguminosarum]                  103        3e-21 
WP_081780037.1 dTMP kinase [Lactobacillus apodemi]                    103        3e-21 
WP_065860376.1 dTMP kinase [Cutibacterium granulosum]                 104        3e-21 
WP_103890820.1 dTMP kinase [Streptomyces yanglinensis]                102        3e-21 
WP_134297013.1 dTMP kinase [Spiroplasma gladiatoris]                  102        3e-21 
WP_142634830.1 dTMP kinase [Ruegeria faecimaris]                      102        3e-21 
WP_005865229.1 dTMP kinase [Bartonella alsatica]                      102        3e-21 
WP_099244397.1 dTMP kinase [Tropicibacter phthalicicus]               102        3e-21 
WP_097589118.1 dTMP kinase [Rhizobium sp. J15]                        103        3e-21 
WP_085828046.1 dTMP kinase [Roseovarius gaetbuli]                     102        3e-21 
WP_119927200.1 dTMP kinase [Streptosporangiaceae bacterium YIM 75...  102        3e-21 
WP_011048439.1 dTMP kinase [Ruegeria pomeroyi]                        102        3e-21 
WP_028507274.1 dTMP kinase [Ruminococcaceae bacterium AB4001]         102        3e-21 
WP_074640536.1 dTMP kinase [Celeribacter baekdonensis]                102        3e-21 
WP_014099587.1 dTMP kinase [Chloracidobacterium thermophilum]         95.9       3e-21 
WP_084432020.1 dTMP kinase [Actinobaculum sp. oral taxon 183]         102        3e-21 
WP_079102016.1 dTMP kinase [Streptomyces thermoautotrophicus]         99.4       3e-21 
WP_138389155.1 dTMP kinase [Rhizobium sp. JKLM12A2]                   103        3e-21 
WP_055532467.1 dTMP kinase [Streptomyces graminilatus]                99.4       3e-21 
WP_089882452.1 dTMP kinase [Citreimonas salinaria]                    102        4e-21 
WP_012634610.1 dTMP kinase [Ruminiclostridium cellulolyticum]         102        4e-21 
WP_108693007.1 dTMP kinase [Pelagivirga sediminicola]                 102        4e-21 
WP_062457298.1 dTMP kinase [Gluconobacter oxydans]                    98.2       4e-21 
WP_116947626.1 dTMP kinase [Jiangella sp. KE2-3]                      95.1       4e-21 
WP_055508743.1 MULTISPECIES: dTMP kinase [Nonomuraea]                 99.0       4e-21 
WP_024285807.1 dTMP kinase [Cellulomonas sp. KRMCY2]                  102        4e-21 
WP_071440981.1 dTMP kinase [Traorella massiliensis]                   96.3       4e-21 
WP_093276579.1 dTMP kinase [Psychrobacillus sp. OK032]                103        4e-21 
WP_124342354.1 dTMP kinase [Cellulomonas sp. TKZ-21]                  103        4e-21 
WP_119658297.1 dTMP kinase [Jiangella sp. NEAU-YY265]                 94.7       4e-21 
WP_007400375.1 MULTISPECIES: dTMP kinase [Acetobacteraceae]           98.2       4e-21 
WP_138016414.1 dTMP kinase [Pelagicola litoralis]                     102        4e-21 
WP_021104029.1 dTMP kinase [Cutibacterium granulosum]                 103        4e-21 
WP_058334217.1 dTMP kinase [Phaeobacter sp. CECT 5382]                102        4e-21 
WP_058239397.1 dTMP kinase [Shimia marina]                            102        4e-21 
WP_121999029.1 dTMP kinase [Rhodobacteraceae bacterium EL53]          102        4e-21 
WP_029531211.1 dTMP kinase [Rhizobium phaseoli]                       102        4e-21 
WP_067551623.1 MULTISPECIES: dTMP kinase [Rhodobacteraceae]           102        4e-21 
WP_113705352.1 dTMP kinase [Nonomuraea sp. NEAU-YG30]                 97.1       5e-21 
WP_132662485.1 dTMP kinase [Rhizobium azibense]                       102        5e-21 
WP_007532540.1 dTMP kinase [Rhizobium mesoamericanum]                 102        5e-21 
WP_110121246.1 MULTISPECIES: dTMP kinase [unclassified Caulobacter]   94.0       5e-21 
WP_090269128.1 dTMP kinase [Litorimicrobium taeanense]                102        5e-21 
WP_033069677.1 dTMP kinase [Thalassospira australica]                 100        5e-21 
WP_152497859.1 dTMP kinase [Roseovarius sp. THAF8]                    102        5e-21 
WP_102830240.1 dTMP kinase [Bartonella bovis]                         102        5e-21 
WP_067924744.1 MULTISPECIES: dTMP kinase [unclassified Sulfitobac...  102        5e-21 
WP_052218299.1 dTMP kinase [Thermincola ferriacetica]                 102        5e-21 
WP_073195812.1 dTMP kinase [Roseovarius marisflavi]                   102        5e-21 
WP_123487848.1 dTMP kinase [Granulicella sp. GAS466]                  102        5e-21 
WP_155855374.1 dTMP kinase [Actinotalea ferrariae]                    100        5e-21 
WP_007477296.1 dTMP kinase [Bartonella melophagi]                     102        5e-21 
WP_048849680.1 dTMP kinase [Tanticharoenia sakaeratensis]             102        5e-21 
WP_156005230.1 dTMP kinase [Spiroplasma tabanidicola]                 102        5e-21 
WP_113259186.1 dTMP kinase [Roseovarius sp. TE539]                    102        5e-21 
WP_114077244.1 dTMP kinase [Paracoccus sp. SC2-6]                     102        5e-21 
WP_080880755.1 dTMP kinase [Nitrospira sp. ND1]                       103        5e-21 
WP_035062484.1 dTMP kinase [Cellulomonas bogoriensis]                 102        5e-21 
WP_092588630.1 dTMP kinase [Rhizobium loessense]                      102        5e-21 
WP_153617478.1 dTMP kinase [Rhodobacteraceae bacterium]               102        5e-21 
WP_125483578.1 dTMP kinase [Edaphobacter aggregans]                   102        5e-21 
WP_092695535.1 dTMP kinase [Roseivivax roseus]                        102        5e-21 
WP_039132493.1 dTMP kinase [Leisingera sp. ANG-Vp]                    102        5e-21 
WP_008554353.1 dTMP kinase [Leisingera daeponensis]                   102        5e-21 
WP_129422371.1 dTMP kinase [Rhizobium leguminosarum]                  102        5e-21 
WP_094047931.1 dTMP kinase [Spiroplasma corruscae]                    102        5e-21 
WP_066072481.1 dTMP kinase [[Clostridium] paradoxum]                  102        5e-21 
WP_133706147.1 dTMP kinase [Rhizobium sp. BK333]                      102        6e-21 
WP_120226079.1 dTMP kinase [Thalassospira sp. DSM 26710]              97.1       6e-21 
WP_155356521.1 dTMP kinase [Acrocarpospora macrocephala]              97.4       6e-21 
WP_109987804.1 dTMP kinase [Ochrobactrum sp. POC9]                    102        6e-21 
WP_155410016.1 dTMP kinase [Rhodospirillaceae bacterium]              93.2       6e-21 
WP_013962541.1 dTMP kinase [Roseobacter litoralis]                    102        6e-21 
WP_063089568.1 MULTISPECIES: dTMP kinase [unclassified Thalassosp...  97.4       6e-21 
WP_148199124.1 dTMP kinase [Rhizobiales bacterium]                    102        6e-21 
WP_155348424.1 dTMP kinase [Acrocarpospora pleiomorpha]               97.4       6e-21 
WP_122113747.1 dTMP kinase [Paracoccus sp. 4-2]                       101        6e-21 
WP_086809885.1 dTMP kinase [Streptomyces reticuliscabiei]             98.2       6e-21 
WP_053206409.1 dTMP kinase [Jiangella muralis]                        95.1       6e-21 
WP_120501425.1 dTMP kinase [Roseovarius sp. EL26]                     102        6e-21 
WP_068519061.1 dTMP kinase [Thalassospira sp. MCCC 1A02491]           97.8       6e-21 
WP_008526335.1 dTMP kinase [Rhizobium sp. Pop5]                       102        6e-21 
WP_074063160.1 dTMP kinase [Rhizobium etli]                           102        6e-21 
WP_019218615.1 dTMP kinase [Bartonella florencae]                     102        6e-21 
WP_028753220.1 dTMP kinase [Rhizobium leucaenae]                      102        6e-21 
WP_064648122.1 dTMP kinase [Rhizobium sp. WYCCWR10014]                102        6e-21 
WP_124965410.1 dTMP kinase [Gemmobacter sp. YIM 102744-1]             101        6e-21 
WP_093258242.1 dTMP kinase [Thermostaphylospora chromogena]           94.0       6e-21 
WP_088393948.1 dTMP kinase [Rhizobium esperanzae]                     102        6e-21 
WP_006006837.1 dTMP kinase [Desulfovibrio piger]                      95.1       6e-21 
WP_132552960.1 dTMP kinase [Rhizobium azibense]                       102        6e-21 
WP_016483446.1 dTMP kinase [Chthonomonas calidirosea]                 102        6e-21 
WP_104006734.1 dTMP kinase [Jhaorihella thermophila]                  102        6e-21 
WP_107718856.1 dTMP kinase [Celeribacter baekdonensis]                101        7e-21 
WP_115518692.1 dTMP kinase [Pseudolabrys sp. GY_H]                    92.8       7e-21 
WP_010701195.1 dTMP kinase [Bartonella bovis]                         102        7e-21 
WP_013249445.1 dTMP kinase [Nitrospira defluvii]                      102        7e-21 
WP_086800106.1 dTMP kinase [Streptomyces scabiei]                     98.6       7e-21 
WP_028749320.1 dTMP kinase [Rhizobium mesoamericanum]                 102        7e-21 
WP_075047871.1 dTMP kinase [Spiroplasma turonicum]                    101        7e-21 
WP_142643832.1 dTMP kinase [Psychrobacillus sp. Z8]                   102        7e-21 
