locus_tag	KEGG_ko
LFT_00215	K02383
LFT_00216	K02414
LFT_00217	K02389
LFT_00218	K02390
LFT_00219	K02415
LFT_00220	K02417
LFT_00221	K02418
LFT_00222	K02419,K03226
LFT_00223	K02420,K03227
LFT_00224	K02421,K13820
LFT_00225	K02401,K04061,K13820
LFT_00226	K02400
LFT_00227	K02404
LFT_00228	K02282,K04562
LFT_00229	K02405,K03093
LFT_00230	K00575
LFT_00231	
LFT_00232	K03407
LFT_00233	K03412
LFT_00234	K03406
LFT_00235	K03408,K03415
LFT_00236	K02556
LFT_00237	K02556
LFT_00238	K02557
LFT_00242	K02401,K02556,K03229,K04061,K13820
LFT_00243	K00059
LFT_00249	K10206,K14261
LFT_00253	K03575
LFT_00254	
LFT_00255	
LFT_00258	K02050
LFT_00259	K02050
LFT_00260	K02049
LFT_00261	K02049
LFT_00263	K04096
LFT_00264	K03168
LFT_00265	K03168
LFT_00266	K04094
LFT_00267	K03733,K04763
LFT_00268	K01419
LFT_00269	K03667
LFT_00270	K00930,K14682
LFT_00272	K01520,K13038
LFT_00273	K07056
LFT_00274	K01918
LFT_00275	
LFT_00276	K21600
LFT_00277	K02656
LFT_00278	
LFT_00279	
LFT_00280	
LFT_00285	
LFT_00288	
LFT_00289	K02823,K05368
LFT_00292	
LFT_00293	
LFT_00294	K07145,K21481
LFT_00296	
LFT_00297	
LFT_00299	K04773
LFT_00301	K03551
LFT_00302	K03550
LFT_00303	K01159
LFT_00304	K04771
LFT_00305	
LFT_00306	K07638,K07709
LFT_00307	
LFT_00308	K01091,K01838
LFT_00310	
LFT_00312	K06039
LFT_00313	K07236
LFT_00315	K02034,K15582,K16201
LFT_00316	K02034,K15582,K16201
LFT_00317	K02033,K15581
LFT_00318	
LFT_00319	K01739,K01760,K01761
LFT_00321	
LFT_00322	K03320
LFT_00323	K02589,K02590,K04751,K04752
LFT_00324	K03320
LFT_00325	K01533,K17686
LFT_00326	
LFT_00327	K03620
LFT_00329	K06131,K17717
LFT_00330	K03671,K03672
LFT_00331	K01256,K08776
LFT_00332	K06966
LFT_00333	K09771
LFT_00334	K03702,K08999
LFT_00335	K03702,K08999
LFT_00336	
LFT_00337	K03892,K07721,K22042,K22491
LFT_00338	
LFT_00339	
LFT_00340	
LFT_00341	
LFT_00342	
LFT_00343	K13953
LFT_00347	
LFT_00348	K03564
LFT_00349	K13527
LFT_00350	K13527
LFT_00351	K13571,K20814
LFT_00353	K03433
LFT_00354	K03432
LFT_00355	K13571
LFT_00356	K13571
LFT_00359	
LFT_00360	K07301
LFT_00364	K10674
LFT_00365	K06720
LFT_00366	K00836
LFT_00367	K06718
LFT_00368	K03762
LFT_00373	
LFT_00374	
LFT_00375	K07337,K21008
LFT_00376	K09859
LFT_00377	K00525
LFT_00378	
LFT_00379	K00826,K02619
LFT_00380	K01665,K03342,K13503,K13950
LFT_00382	
LFT_00383	
LFT_00384	
LFT_00385	K04075,K21947
LFT_00386	K03154
LFT_00388	
LFT_00389	
LFT_00390	K03980
LFT_00391	K02968
LFT_00392	K02340
LFT_00394	K01869
LFT_00396	K04763
LFT_00399	K02316
LFT_00400	K06919
LFT_00401	
LFT_00407	
LFT_00408	
LFT_00409	K03316
LFT_00410	K04748,K09882
LFT_00411	K07263
LFT_00412	K07263
LFT_00413	
LFT_00415	K06940
LFT_00416	K03665
LFT_00417	
LFT_00420	K01875
LFT_00421	K06910
LFT_00422	K13924
LFT_00424	K07100
LFT_00426	K07493
LFT_00427	K00057,K07175
LFT_00428	K03593
LFT_00429	K06173
LFT_00431	K03593
LFT_00432	K03593
LFT_00434	
LFT_00435	K04755
LFT_00436	K04043,K04044
LFT_00437	K04082,K05801
LFT_00438	K13628
LFT_00439	K04488
LFT_00440	K04487
LFT_00441	
LFT_00442	
LFT_00444	K03699,K06189
LFT_00446	K00394
LFT_00447	K00395
LFT_00448	K00958,K13811
LFT_00449	K07729
LFT_00451	
LFT_00452	K03446
LFT_00453	K03446
LFT_00455	
LFT_00456	
LFT_00458	K10941
LFT_00459	K00425
LFT_00460	K00426
LFT_00462	K17218
LFT_00463	
LFT_00464	
LFT_00466	K06610,K08162
LFT_00468	K02843,K02849
LFT_00469	
LFT_00470	
LFT_00471	K03294
LFT_00473	
LFT_00474	K01548
LFT_00475	K01546
LFT_00476	K01547
LFT_00481	
LFT_00482	
LFT_00485	K00020
LFT_00486	K03564
LFT_00487	K07223
LFT_00488	K01740,K06929
LFT_00489	K00113,K00176,K05524,K13795,K13796
LFT_00490	
LFT_00491	K04487
LFT_00492	K00329,K00356
LFT_00493	K00329,K00356
LFT_00497	K03676,K06191,K07390
LFT_00498	K04748,K09882
LFT_00500	K03598
LFT_00501	K07304
LFT_00503	K21023
LFT_00505	
LFT_00509	
LFT_00510	K01704
LFT_00511	K01703
LFT_00512	K01710
LFT_00513	K00973
LFT_00514	K01790
LFT_00515	K03762
LFT_00517	K03406
LFT_00518	K08296
LFT_00519	K01580
LFT_00520	K01236
LFT_00521	K00705,K06044
LFT_00522	K05343
LFT_00523	K05343
LFT_00524	
LFT_00525	
LFT_00527	K20971
LFT_00529	K16147
LFT_00530	K00700,K05343,K16146
LFT_00531	K13953,K13979
LFT_00534	K02660
LFT_00535	K02660
LFT_00536	K01812,K02529,K16210
LFT_00538	K13816
LFT_00539	
LFT_00540	
LFT_00541	K07814,K13815
LFT_00542	K20276
LFT_00544	
LFT_00546	
LFT_00548	
LFT_00549	K02022,K06147,K06148
LFT_00551	
LFT_00552	K20444
LFT_00553	
LFT_00554	K20444
LFT_00555	K20444
LFT_00556	K16650
LFT_00557	K20951,K20952
LFT_00558	K20951,K20952
LFT_00559	K02481
LFT_00560	K02123
LFT_00561	
LFT_00562	K00963
LFT_00563	
LFT_00564	
LFT_00565	
LFT_00567	K18814
LFT_00568	
LFT_00569	K00754
LFT_00570	K00786
LFT_00571	
LFT_00572	
LFT_00573	
LFT_00574	K01991,K20988
LFT_00575	
LFT_00576	K16554,K16692
LFT_00577	
LFT_00578	
LFT_00581	K03088
LFT_00583	K00520
LFT_00584	K08365,K19591
LFT_00585	
LFT_00586	
LFT_00588	K06223,K07318
LFT_00589	K01854
LFT_00590	K08679
LFT_00591	K07452
LFT_00592	K02481
LFT_00593	K00820
LFT_00594	K02474,K13015
LFT_00596	K01784,K02473
LFT_00597	K02481
LFT_00598	K01104
LFT_00599	K13243,K21023
LFT_00600	
LFT_00602	K15231,K15232
LFT_00603	K01902,K15230,K15233
LFT_00605	K01681
LFT_00606	K01647,K15234
LFT_00607	
LFT_00608	
LFT_00609	K00239,K00244,K00278
LFT_00610	K01903
LFT_00611	K01902,K02381
LFT_00612	K03564
LFT_00615	K03925
LFT_00616	K03438
LFT_00618	K03587,K08384,K08724,K12552,K12556
LFT_00619	K01928,K15792
LFT_00620	K01929
LFT_00621	K01000
LFT_00622	K01925
LFT_00623	K02563,K03588
LFT_00624	K02563
LFT_00625	K01924
LFT_00626	K00075
LFT_00627	K01921
LFT_00629	K03590
LFT_00630	K03531
LFT_00631	K05810
LFT_00632	K06997
LFT_00633	K00286
LFT_00634	K02221
LFT_00635	K04074,K06997
LFT_00638	K07488
LFT_00639	K06045
LFT_00641	K07126,K07277
LFT_00643	K00091
LFT_00644	K00945,K02945,K03527
LFT_00645	
LFT_00646	K00720
LFT_00647	K08978,K12962
LFT_00648	K22502
LFT_00649	K02006,K03794,K03795
LFT_00650	K01599
LFT_00651	K02495
LFT_00655	
LFT_00662	K02314
LFT_00663	K06919
LFT_00666	
LFT_00667	K00789
LFT_00668	K01251
LFT_00669	K03154
LFT_00670	K01738
LFT_00671	K21029
LFT_00672	K01733
LFT_00673	K03636,K21147
LFT_00674	K02071
LFT_00675	K21029
LFT_00676	K21140
LFT_00677	
LFT_00678	K07636,K07652
LFT_00679	K01784
LFT_00680	K01151
LFT_00681	K01151
LFT_00682	K02066
LFT_00683	K02065
LFT_00684	K02067
LFT_00685	K07098
LFT_00687	
LFT_00688	K00097,K22024
LFT_00689	
LFT_00690	K03701
LFT_00691	K03634,K14166
LFT_00692	K03466
LFT_00693	K12574
LFT_00694	K00561,K02528
LFT_00695	K03832
LFT_00696	K08309
LFT_00700	K07478
LFT_00701	K18682
LFT_00702	K02029,K02030,K09769
LFT_00703	K03601
LFT_00704	K03602
LFT_00705	K00795,K02523,K13789
LFT_00706	K01662
LFT_00707	K06442
LFT_00708	K01710,K01784,K08678,K08679
LFT_00709	K01733,K03926
LFT_00710	K21471
LFT_00711	K03070
LFT_00712	K00330
LFT_00713	K00331
LFT_00714	K00332
LFT_00715	K00333,K13378
LFT_00716	K00334
LFT_00717	K00335,K18331
LFT_00718	K00335,K18331
LFT_00719	K00123,K00184,K00335,K00336,K05299,K18006,K18332
LFT_00720	K00337
LFT_00721	K00338,K02573,K03941
LFT_00722	K00339
LFT_00723	K00340,K05576
LFT_00724	K00341
LFT_00725	K00342
LFT_00726	K00343
LFT_00727	K01356
LFT_00729	K03320
LFT_00730	K04751,K04752
LFT_00731	
LFT_00732	K00318
LFT_00733	
LFT_00734	
LFT_00735	
LFT_00736	K03414
LFT_00738	K09930
LFT_00739	
LFT_00740	
LFT_00743	K02460
LFT_00744	K02462
LFT_00746	
LFT_00747	K02456
LFT_00748	K02455,K02653
LFT_00749	K02454,K02652
LFT_00750	K02453,K03219
LFT_00751	K02452,K02463
LFT_00752	
LFT_00756	K02634,K19713
LFT_00757	K02634,K19713
LFT_00758	K02275
LFT_00759	
LFT_00761	
LFT_00762	
LFT_00764	
LFT_00765	K00694
LFT_00766	K00694
LFT_00767	K02275
LFT_00768	K02634,K19713
LFT_00769	K02336,K06877
LFT_00770	
LFT_00772	K01356
LFT_00773	K01810
LFT_00774	K01560,K07025
LFT_00775	
LFT_00776	
LFT_00777	
LFT_00778	K07285
LFT_00779	K08364
LFT_00780	K03893
LFT_00781	K03741
LFT_00786	
LFT_00787	K07243
LFT_00788	K07576
LFT_00789	K00655,K01897
LFT_00791	K13771
LFT_00792	
LFT_00793	
LFT_00794	K00406,K12263
LFT_00795	K05710
LFT_00796	K05916
LFT_00797	K01835,K01840,K15778
LFT_00798	K00971,K01840,K16011
LFT_00801	
LFT_00802	K03595
LFT_00803	K03595
LFT_00804	K03474,K03584
LFT_00806	K02040,K03074,K20541
LFT_00807	K00571,K06969
LFT_00808	K06207
LFT_00809	K01802,K03767,K03768
LFT_00810	K03801,K06167
LFT_00811	K00197,K00544,K00548,K15023
LFT_00812	K00548
LFT_00813	K03147
LFT_00814	K03695
LFT_00815	K03695
LFT_00816	K03703
LFT_00818	K00014,K00244,K00259,K05887,K10714,K13832,K16182
LFT_00819	K03110
LFT_00820	K01489,K03474,K03595,K07042
LFT_00821	K07037
LFT_00822	K06217
LFT_00823	K03322
LFT_00824	K02654
LFT_00826	
LFT_00827	
LFT_00829	K03407,K03408,K03415
LFT_00830	
LFT_00832	K02600
LFT_00833	K02519
LFT_00834	K09764
LFT_00835	K02834
LFT_00836	K03177
LFT_00837	K02956
LFT_00838	K00962
LFT_00840	
LFT_00841	K03474
LFT_00842	K00997,K01207
LFT_00843	K17758,K17759
LFT_00844	K21929
LFT_00846	K03555
LFT_00848	
LFT_00849	K00208
LFT_00850	K02636,K03886
LFT_00851	K00412,K03888
LFT_00852	
LFT_00854	
LFT_00855	K03655
LFT_00857	K01524
LFT_00859	K00974
LFT_00860	
LFT_00861	K03296
LFT_00863	K02076,K03711
LFT_00865	K22205
LFT_00866	
LFT_00867	K02945,K03527
LFT_00868	K04773
LFT_00869	K03530,K05788
LFT_00870	K03106
LFT_00871	K02959
LFT_00872	K06960
LFT_00873	K00554,K01770
LFT_00874	K02884
LFT_00875	K03470
LFT_00876	K09811,K09812
LFT_00877	K21471
LFT_00878	K03797
LFT_00879	K04078
LFT_00880	K04077
LFT_00881	K03671,K05838
LFT_00882	K03631
LFT_00883	K09118
LFT_00884	K01582,K01585
LFT_00885	K00797
LFT_00887	K01611
LFT_00888	
LFT_00891	K01095
LFT_00892	K03553
LFT_00893	K01872
LFT_00895	K07447
LFT_00896	K07082
LFT_00897	K01873
LFT_00898	K00767,K03813
LFT_00899	K00767,K03813
LFT_00900	K03524
LFT_00901	K01947,K03525
LFT_00903	K02660
LFT_00904	K07493
LFT_00905	K01993,K03543
LFT_00906	K12340
LFT_00907	K00024
LFT_00909	K09774
LFT_00910	K01990,K06861
LFT_00911	K03092
LFT_00912	K05808
LFT_00913	K06958
LFT_00915	K01736
LFT_00916	K00891,K13829
LFT_00917	K01735,K13829
LFT_00918	K01735,K13829
LFT_00919	K01768,K02584
LFT_00921	
LFT_00922	
LFT_00923	K09457
LFT_00924	K07494
LFT_00927	K03561,K03562
LFT_00928	K03559,K03560
LFT_00929	K03641
LFT_00930	
LFT_00931	K00558,K03572
LFT_00932	K00791
LFT_00933	K00772
LFT_00934	K00772
LFT_00935	K00852,K00856
LFT_00936	K02656
LFT_00937	K15539
LFT_00938	
LFT_00942	
LFT_00946	
LFT_00949	K07810
LFT_00950	K07787,K15726
LFT_00951	K07798
LFT_00952	K15725
LFT_00953	
LFT_00954	
LFT_00955	
LFT_00956	K09958
LFT_00957	K08259,K21471
LFT_00958	K03696
LFT_00959	K01409,K03070
LFT_00960	K01409,K03070
LFT_00961	K01887
LFT_00962	K00773
LFT_00964	K03072,K12257
LFT_00965	K03072,K03074,K12257
LFT_00967	K07462
LFT_00968	K00951
LFT_00969	K02380
LFT_00971	
LFT_00972	K21449
LFT_00973	K01993,K03543
LFT_00974	K03446
LFT_00975	K12340
LFT_00976	K03543
LFT_00977	K03446
LFT_00978	K03705
LFT_00979	K03687
LFT_00980	K04043
LFT_00981	K03686
LFT_00982	K09761
LFT_00984	K00569
LFT_00985	K00768,K02231
LFT_00986	K00768
LFT_00987	K02233
LFT_00991	K07235
LFT_00992	
LFT_00993	
LFT_00994	K02226
LFT_00995	K02224
LFT_00996	K02006,K06042
LFT_00997	K00030,K00031
LFT_00998	K00030
LFT_01000	
LFT_01003	K20533
LFT_01005	K03204,K20532
LFT_01006	K20531
LFT_01009	K20530
LFT_01010	K20529,K20530
LFT_01012	K20527
LFT_01014	
LFT_01015	
LFT_01016	K03820
LFT_01017	
LFT_01018	K06223,K07318
LFT_01019	
LFT_01021	
LFT_01023	K02342,K10857,K13288
LFT_01024	
LFT_01026	
LFT_01028	
LFT_01029	
LFT_01030	
LFT_01038	
LFT_01041	
LFT_01043	K03630
LFT_01044	K07496
LFT_01048	
LFT_01050	K08306,K08308,K08309
LFT_01053	K01144,K03581
LFT_01059	
LFT_01060	K07496
LFT_01062	
LFT_01065	
LFT_01066	K00571,K00590
LFT_01067	K00558
LFT_01073	K00525
LFT_01074	
LFT_01078	K21449
LFT_01081	
LFT_01083	K03111
LFT_01085	
LFT_01086	K02453,K03219
LFT_01087	K07154
LFT_01092	
LFT_01093	K21088
LFT_01094	K00943
LFT_01096	
LFT_01097	
LFT_01098	
LFT_01099	
LFT_01100	
LFT_01101	
LFT_01102	
LFT_01105	
LFT_01108	K06871
LFT_01110	K06871
LFT_01111	
LFT_01113	K06871
LFT_01115	K06871
LFT_01116	K07496
LFT_01117	K02314
LFT_01124	K02455,K02653
LFT_01125	K02669
LFT_01129	
LFT_01130	K02652
LFT_01137	K03205
LFT_01138	K03205
LFT_01140	K07012,K19123
LFT_01141	K19123
LFT_01142	K19046
LFT_01143	K19126
LFT_01144	K19124
LFT_01145	K19125
LFT_01146	K15342
LFT_01148	
LFT_01149	
LFT_01151	
LFT_01153	K00013,K00548,K00942,K01153,K01869,K02500,K03427,K03469,K03524,K03578,K04066,K04568,K07316,K11942
LFT_01155	
LFT_01156	
LFT_01157	K02464,K02654
LFT_01160	
LFT_01161	K08365,K13638,K19591
LFT_01162	K19058
LFT_01163	K00520
LFT_01164	
LFT_01165	
LFT_01166	
LFT_01168	K02588
LFT_01169	K02586
LFT_01170	K02591
LFT_01171	K02587,K02592
LFT_01172	K02587,K02592
LFT_01173	K02596
LFT_01174	
LFT_01175	K02585,K02592
LFT_01176	K03522,K05337
LFT_01177	K13628,K15724,K22063
LFT_01178	
LFT_01179	
LFT_01180	K04487
LFT_01181	K13010
LFT_01182	
LFT_01183	K02597
LFT_01185	K02593
LFT_01186	
LFT_01188	
LFT_01189	K03616
LFT_01190	K02595
LFT_01191	K02589,K02590,K04751,K04752
LFT_01192	K02589,K02590,K04751,K04752
LFT_01193	K07183,K22010
LFT_01195	K02594
LFT_01196	K21029
LFT_01197	K02018,K02020
LFT_01198	K02018,K15496
LFT_01199	K02017
LFT_01200	
LFT_01201	K03635,K03831,K09121
LFT_01202	K03637
LFT_01203	K03750,K07219
LFT_01204	K03635,K21147
LFT_01206	K03639,K20967
LFT_01207	K02589,K02590,K04751,K04752
LFT_01208	K00362,K00366,K00381,K00392
LFT_01209	K00362,K00366,K00381,K00392
LFT_01210	K02575
LFT_01211	K02589,K02590,K04751,K04752
LFT_01212	K02589,K02590,K04751,K04752
LFT_01213	
LFT_01214	K07334
LFT_01215	K21498
LFT_01216	
LFT_01218	
LFT_01219	K07496
LFT_01221	K21498
LFT_01222	K07714
LFT_01223	K02003,K02484,K07708,K13924,K14986
LFT_01224	K07566
LFT_01225	K01687
LFT_01226	
LFT_01227	K09822
LFT_01228	K00341,K05577,K09822
LFT_01229	
LFT_01230	
LFT_01231	
LFT_01232	K00817
LFT_01233	
LFT_01234	K16066
LFT_01235	
LFT_01236	
LFT_01237	
LFT_01238	
LFT_01239	K06910
LFT_01240	
LFT_01241	
LFT_01242	
LFT_01243	
LFT_01244	
LFT_01245	
LFT_01248	
LFT_01249	
LFT_01250	K07782,K15852,K19734,K20334
LFT_01251	K21012
LFT_01252	K21011,K21012
LFT_01254	K21009
LFT_01255	K21006
LFT_01256	K21008
LFT_01257	K20543
LFT_01258	K20543
LFT_01259	K01884,K21006
LFT_01260	K01884,K21006
LFT_01261	
LFT_01262	K06996
LFT_01263	K01687,K16786
LFT_01265	K07154
LFT_01266	K15773
LFT_01269	
LFT_01270	
LFT_01272	
LFT_01273	
LFT_01274	
LFT_01276	K19166
LFT_01277	K18831
LFT_01278	K07133
LFT_01280	
LFT_01281	K15520
LFT_01282	
LFT_01284	K07491
LFT_01286	
LFT_01291	K07038
LFT_01292	
LFT_01294	K03686
LFT_01295	K07171
LFT_01296	K03088
LFT_01297	K00574,K07755
LFT_01299	
LFT_01301	K07277
LFT_01302	K06142
LFT_01303	K02536
LFT_01304	K02372,K16363
LFT_01305	K00677
LFT_01306	K00748,K09949
LFT_01307	K09949
LFT_01308	K00748
LFT_01309	
LFT_01310	K02021,K06147,K11085
LFT_01311	K02527
LFT_01312	K00912
LFT_01313	K02517
LFT_01314	K02843,K02849
LFT_01315	K02527,K02841,K02843,K12982
LFT_01316	K02841,K02843,K12982
LFT_01317	K12984
LFT_01318	
LFT_01319	K20444
LFT_01320	
LFT_01321	
LFT_01322	K02841,K02843,K02849
LFT_01323	K01089,K01929,K03271,K03273,K15669
LFT_01324	K00912,K09791
LFT_01325	K02843,K02849
LFT_01326	K02843,K02849
LFT_01327	
LFT_01328	K00754
LFT_01329	
LFT_01330	
LFT_01332	K00833,K19563
LFT_01333	K07001
LFT_01334	K02847,K18814
LFT_01335	
LFT_01336	K00554,K00991,K01770,K12506,K21681
LFT_01337	K00640
LFT_01338	K01096,K19302
LFT_01339	K00721
LFT_01340	K02843
LFT_01341	K02843
LFT_01342	K00721
LFT_01343	K00721
LFT_01344	K00602
LFT_01345	K01945
LFT_01346	K01104,K07566
LFT_01347	
LFT_01348	K08316
LFT_01349	K00954
LFT_01350	K00812,K22457
LFT_01351	K09810
LFT_01352	K02004,K09808
LFT_01353	K04567
LFT_01354	K08963
LFT_01355	K00705
LFT_01356	K01772
LFT_01357	K11720
LFT_01358	K07091,K11720
LFT_01359	K06168
LFT_01360	
LFT_01361	
LFT_01363	
LFT_01364	K10206,K14261
LFT_01365	K10206,K14261
LFT_01367	K00003
LFT_01368	K01733
LFT_01369	K15635
LFT_01370	K00928,K12524
LFT_01371	K01649
LFT_01372	K00677
LFT_01373	K04764,K05788
LFT_01375	K03787
LFT_01376	K00573
LFT_01377	K01883,K15526
LFT_01378	K03218
LFT_01379	
LFT_01380	K01916,K01950
LFT_01381	K01497,K02858,K14652
LFT_01382	K00794
LFT_01383	K03625
LFT_01385	K01756
LFT_01386	K01587,K01756,K01923
LFT_01387	K01923,K01952
LFT_01389	K01424,K13051
LFT_01391	K00925
LFT_01392	
LFT_01393	K02014
LFT_01394	K01179,K03110,K03832,K21471
LFT_01395	K03559
LFT_01396	K03561
LFT_01397	K01992
LFT_01398	K01992
LFT_01399	K01990
LFT_01400	K01993
LFT_01401	K12340
LFT_01402	K08738
LFT_01403	K01621
LFT_01404	K11645
LFT_01405	K00382
LFT_01406	K00382
LFT_01407	
LFT_01408	K00688,K00691
LFT_01409	K01835
LFT_01410	K01835
LFT_01411	
LFT_01412	K00404
LFT_01414	K03446
LFT_01416	K06020
LFT_01417	
LFT_01418	
LFT_01419	
LFT_01420	
LFT_01421	
LFT_01422	
LFT_01423	K03547
LFT_01424	K06877,K07451
LFT_01425	K03640,K12216
LFT_01426	
LFT_01427	K07126,K21217
LFT_01428	K04771
LFT_01434	
LFT_01435	
LFT_01437	
LFT_01438	
LFT_01439	
LFT_01440	
LFT_01441	
LFT_01443	
LFT_01444	K07487
LFT_01445	
LFT_01446	K03321
LFT_01447	
LFT_01448	K21907
LFT_01451	K01448
LFT_01453	
LFT_01454	K01999
LFT_01455	K06402
LFT_01456	K01867
LFT_01457	K01962,K01963
LFT_01458	K02337
LFT_01459	K03657
LFT_01460	
LFT_01461	
LFT_01467	K00335,K15022,K18331
LFT_01468	K01142,K10773
LFT_01469	K06204
LFT_01470	K03438,K13292
LFT_01471	K03406
LFT_01472	
LFT_01474	K15383
LFT_01475	
LFT_01476	K02004
LFT_01477	K02003
LFT_01478	K00020,K00042
LFT_01481	K12063
LFT_01485	K03204
LFT_01487	K03924
LFT_01489	
LFT_01490	K03733,K04763
LFT_01492	
LFT_01493	K00362,K00366,K00392
LFT_01495	K03594,K03921
LFT_01496	K00703
LFT_01497	K07496
LFT_01499	K10914,K21564
LFT_01500	K08307,K12204
LFT_01501	K15539
LFT_01502	
LFT_01503	K00335
LFT_01504	K01588
LFT_01505	K01589
LFT_01506	
LFT_01508	K01768,K03406,K11617
LFT_01509	K21009
LFT_01510	
LFT_01513	
LFT_01514	
LFT_01516	K02067
LFT_01517	K02065
LFT_01518	K02066
LFT_01521	K03704
LFT_01522	K02246,K02247,K02456,K02457,K02458,K10924
LFT_01523	K02458
LFT_01524	K02457,K02458,K02459,K02655,K10926
LFT_01525	K02314
LFT_01526	K00765,K01892,K02502
LFT_01527	K00058
LFT_01528	
LFT_01529	K02035,K15580
LFT_01535	K01951
LFT_01536	K07787,K15726
LFT_01537	K07798,K15727
LFT_01538	K01866
LFT_01541	K00940
LFT_01542	K07027
LFT_01543	K01710,K08678
LFT_01545	K06206
LFT_01546	K00012
LFT_01547	K03153
LFT_01548	
LFT_01549	K00405
LFT_01550	
LFT_01551	K01713,K04518,K14170,K14187
LFT_01552	K03856
LFT_01553	K00210,K00220,K04517
LFT_01554	K00800
LFT_01555	K00800,K00945,K02945,K03527,K03977,K11753,K13799
LFT_01556	K00655,K00945
LFT_01557	
LFT_01558	
LFT_01559	K01934
LFT_01560	K00950,K01495
LFT_01561	K01491
LFT_01562	K00297
LFT_01563	K00606
LFT_01564	K07232
LFT_01565	K01142
LFT_01566	K03594,K03921
LFT_01567	K03406
LFT_01568	K18930
LFT_01569	K03698
LFT_01570	K00265,K00284
LFT_01571	K09780
LFT_01572	K03086,K03087
LFT_01573	K01512
LFT_01575	K00027,K01679
LFT_01576	K07450
LFT_01577	K00817,K01042,K01089,K02189,K02225,K04720
LFT_01578	K02227
LFT_01579	K02232
LFT_01581	K01687
LFT_01582	K09760
LFT_01583	K08972
LFT_01585	
LFT_01588	K02304,K05936,K13541
LFT_01590	K03394
